Track Name,Artist Names,Album Name,Album Artist Names,Album Release Date,Disc Number,Track Number,Track Duration ms,Explicit,Popularity,ISRC,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Genres,Label,Copyrights
Take Yourself Home,Troye Sivan,Take Yourself Home,Troye Sivan,4/1/20,1,1,249369,FALSE,0,AUUM72000197,"australian pop,pop,viral pop",0.364,0.606,5,-9.188,0,0.0831,0.0748,0.000322,0.106,0.289,99.73,4,,EMI Recorded Music Australia Pty Ltd,"C © 2020 Universal Music Australia Pty Ltd., P An EMI Recorded Music Australia Production; ℗ 2020 Universal Music Australia Pty Ltd."
Give It Up,KC & The Sunshine Band,All In a Night's Work (Expanded Version),KC & The Sunshine Band,3/11/16,1,3,254240,FALSE,73,USSM19801505,"disco,mellow gold,new wave pop,soft rock,soul",0.862,0.624,3,-11.63,1,0.0565,0.0192,0.000153,0.0465,0.882,124.896,4,,Epic/Legacy,"P This compilation (P) 2015 Epic Records, a division of Sony Music Entertainment"
Homecoming,Hey Monday,Hold On Tight,Hey Monday,10/7/08,1,3,238733,FALSE,47,USSM10803206,"candy pop,neon pop punk,pixie,pop emo,pop punk",0.393,0.958,2,-2.102,1,0.0871,0.00966,0,0.214,0.323,150.074,4,,Decaydance/Columbia,P (P) 2008 SONY BMG MUSIC ENTERTAINMENT
Funhouse - Main Version - Clean,P!nk,La Guestlist,Various Artists,10/19/09,1,3,203933,FALSE,24,USLF20800185,"dance pop,pop",0.789,0.84,11,-4.059,0,0.0361,0.00616,0,0.0646,0.821,103.957,4,,SME Strategic Marketing Group,P (P) 2009 Sony Music Entertainment
Dangerous Woman,Ariana Grande,Dangerous Woman,Ariana Grande,5/20/16,1,2,235946,FALSE,0,USUM71601826,pop,0.677,0.604,7,-5.32,1,0.0385,0.0612,0,0.353,0.297,134.052,3,,Universal Music Group,"C © 2016 Republic Records, a division of UMG Recordings, Inc., P ℗ 2016 Republic Records, a division of UMG Recordings, Inc."
Abergavenny,Marty Wilde,The Full Marty,Marty Wilde,1/1/10,3,21,168000,FALSE,33,GBUM70700737,"brill building pop,merseybeat,rock-and-roll",0.609,0.895,11,-8.208,1,0.0695,0.162,0.504,0.522,0.792,123.102,4,,UMC (Universal Music Catalogue),"C © 2010 Mercury Records Limited, P This Compilation ℗ 2010 Mercury Records Limited"
That's All You Gotta Do,Brenda Lee,"Ultimate Collection, Vol. 1",Brenda Lee,3/6/15,1,16,145480,FALSE,9,DEG320701716,"adult standards,easy listening,lounge,rockabilly",0.587,0.65,1,-5.732,1,0.0283,0.381,0.00000101,0.105,0.96,98.137,4,,10TEN MEDIA,"C 2015 10TEN MEDIA, P 2015 10TEN MEDIA"
Its Alright,Deni Hines,Delicious,Deni Hines,2002,1,1,213360,FALSE,44,AUMU00200882,"australian dance,australian pop",0.66,0.88,11,-5.338,1,0.0375,0.0808,0.00000348,0.15,0.862,103.395,4,,WM Australia,"C © 2002 Mushroom Records, P ℗ 2002 Mushroom Records"
Metal Guru,T. Rex,The Slider,T. Rex,7/21/72,1,1,149786,FALSE,50,GBAFR7210009,"classic rock,glam rock,protopunk,rock",0.307,0.95,11,-3.427,0,0.138,0.00054,0.0000743,0.313,0.524,127.895,4,,Edsel,C (C) 2007 Demon Music Group Ltd.
Heaven Is A Place On Earth,Belinda Carlisle,Greatest Vol.1 - Belinda Carlisle,Belinda Carlisle,1987,1,1,246520,FALSE,74,GBAAA8700010,"new romantic,new wave pop,soft rock",0.64,0.852,1,-8.119,0,0.0345,0.0243,0.00000182,0.0497,0.793,122.902,4,,Crimson,"C (C) 2013 Demon Music Group Ltd., P (P) 1987 Artist Management Services Ltd."
Paper In Fire,John Mellencamp,The Lonesome Jubilee (Remastered),John Mellencamp,1987,1,1,231200,FALSE,0,USJM18700001,"album rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock",0.607,0.905,4,-4.748,1,0.0426,0.00122,0.000261,0.0624,0.533,141.985,4,,Universal Music Group,"C © 2005 John Mellencamp, under exclusive license to the Island Def Jam Music Group, P ℗ 2005 John Mellencamp, under exclusive license to the Island Def Jam Music Group"
Wrecking Ball,Miley Cyrus,Wrecking Ball,Miley Cyrus,8/25/13,1,1,223240,FALSE,0,USRC11301214,pop,0.466,0.403,5,-6.142,1,0.0337,0.395,0,0.111,0.337,119.81,4,,RCA Records Label,"P (P) 2013 RCA Records, a division of Sony Music Entertainment"
Deep End,Birdy,Beautiful Lies (Deluxe),Birdy,3/25/16,1,4,208840,FALSE,35,GBAHS1600022,"neo mellow,uk pop",0.455,0.296,2,-8.513,1,0.0399,0.761,0,0.0783,0.31,171.744,4,,Atlantic Records UK,"C © 2016 Jasmine Van Den Bogaerde under exclusive licence to Atlantic Records UK, a Warner Music Group company, P ℗ 2016 Jasmine Van Den Bogaerde under exclusive licence to Atlantic Records UK, a Warner Music Group company"
Stay The Night - Featuring Hayley Williams Of Paramore,"Zedd, Hayley Williams",Clarity (Deluxe),Zedd,1/1/14,1,11,217346,FALSE,67,USUM71311478,"complextro,edm,german techno,pop,pop dance,art pop",0.596,0.738,8,-3.109,1,0.0411,0.109,0,0.0947,0.461,127.961,4,,Interscope,"C © 2014 Interscope Records, P ℗ 2014 Interscope Records"
Californication,Red Hot Chili Peppers,Californication,Red Hot Chili Peppers,6/8/99,1,6,329733,FALSE,63,USWB19900690,"alternative rock,funk metal,funk rock,permanent wave,rock",0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,4,,Warner Records,"C © 1999 Warner Records Inc., P ℗ 1999 Warner Records Inc."
We Will Rock You - Remastered 2011,Queen,News Of The World (2011 Remaster),Queen,10/28/77,1,1,122066,FALSE,82,GBUM71029618,"classic rock,glam rock,rock",0.692,0.497,2,-7.316,1,0.119,0.676,0,0.259,0.475,81.308,4,,EMI,"C © 2011 Queen Productions Ltd. under exclusive licence to Universal International Music BV, P ℗ 2011 Queen Productions Ltd. under exclusive licence to Universal International Music BV"
My Island Home,Warumpi Band,Go Bush!,Warumpi Band,4/3/87,1,5,297800,FALSE,47,AUFE08700003,"australian indigenous,australian rock",0.488,0.364,7,-15.954,1,0.0321,0.0714,0,0.0756,0.544,79.707,4,,WM Australia,"C © 1987 The Warumpi Band, P ℗ 1987 The Warumpi Band"
7 Days,Craig David,Born to Do It,Craig David,8/14/00,1,4,235133,FALSE,74,GBAWV9902019,british soul,0.659,0.812,4,-7.499,0,0.0487,0.23,0,0.0951,0.888,83.014,4,,Sony Music UK,"P (P) 2001 Wildstar Records Limited, licensed exclusively to Sony Music Entertainment UK Limited"
Shoop Shoop Diddy Wop Cumma Cumma Wang Dang,Monte Video,Monte Video,Monte Video,12/1/83,1,1,159184,FALSE,28,NZWM02000127,,0.706,0.695,2,-10.526,1,0.411,0.226,0,0.0496,0.972,181.337,4,,WM New Zealand,"C © 1983 Mushroom Records New Zealand, P ℗ 1983 Mushroom Records New Zealand"
Regardless,"Jarryd James, Julia Stone",Thirty One,Jarryd James,9/11/15,1,6,273493,FALSE,30,AUUM71500874,"australian alternative pop,australian r&b,australian singer-songwriter",0.672,0.393,9,-8.739,0,0.0477,0.551,0.0000105,0.105,0.319,130.086,4,,Universal Music Australia (Distribution),"C © 2015 Dryden Street Ltd, P ℗ 2015 Dryden Street Ltd"
Convoy,C.W. McCall,C.W. McCall's Greatest Hits,C.W. McCall,1/1/90,1,1,230600,FALSE,64,USPR37500034,"classic country pop,country rock,truck-driving country",0.68,0.543,5,-14.876,1,0.141,0.857,0.000116,0.0881,0.796,111.62,4,,Island Mercury,"C © 1990 UMG Recordings, Inc., P This Compilation ℗ 1990 UMG Recordings, Inc."
Pretty Flamingo,Manfred Mann,Pretty Flamingo,Manfred Mann,1/1/66,1,1,150106,FALSE,0,GBAYE6600051,"british blues,british invasion,classic rock,singer-songwriter",0.553,0.594,7,-9.03,1,0.0279,0.114,0,0.743,0.841,113.506,4,,East Central One,"C 1966 East Central One Limited, P 1966 East Central One Limited"
You Know I'm No Good,Amy Winehouse,Back To Black,Amy Winehouse,1/1/06,1,2,256946,FALSE,0,GBUM70603488,"british soul,neo soul",0.705,0.806,9,-3.607,1,0.0309,0.0132,0.00428,0.0701,0.734,103.383,4,,Universal Music Group,"C © 2006 Universal Island Records Ltd. A Universal Music Company., P ℗ 2006 Universal Island Records Ltd. A Universal Music Company."
Turn Around (feat. Ne-Yo),"Conor Maynard, Ne-Yo",Turn Around (feat. Ne-Yo),Conor Maynard,10/5/12,1,1,232385,FALSE,31,GBAYE1201089,"post-teen pop,uk pop,viral pop,dance pop,pop,r&b,urban contemporary",0.59,0.874,6,-2.583,0,0.0263,0.0179,0.00000646,0.134,0.607,125.018,4,,Parlophone UK,"C © 2012 Parlophone Records Ltd, a Warner Music Group Company, P ℗ 2012 Parlophone Records Ltd, a Warner Music Group Company"
Morning After Dark (Featuring Nelly Furtado & SoShy),Timbaland,Shock Value II (International Deluxe version),Timbaland,1/1/09,1,8,231960,FALSE,0,USUM70907072,"dance pop,pop,pop rap",0.734,0.927,8,-4.244,0,0.042,0.076,0.00134,0.0465,0.901,118.039,4,,Universal Music Group,"C © 2009 Blackground Records/Interscope Records, P ℗ 2009 Blackground Records/Interscope Records"
Somebody That I Used To Know,"Gotye, Kimbra",Making Mirrors,Gotye,1/1/11,1,3,244893,FALSE,67,AUZS21100040,"australian pop,bergen indie,electropop,nz pop",0.864,0.515,0,-6.967,1,0.0367,0.571,0.0000792,0.0947,0.755,129.048,4,,Universal Music Australia Pty. Ltd.,"C © 2011 Samples 'n' Seconds Records, under exclusive license to Eleven: A Music Company. Distributed in Australia by Universal Music Australia Pty Ltd under exclusive license, P ℗ 2011 Samples 'n' Seconds Records, under exclusive license to Eleven: A Music Company. Distributed in Australia by Universal Music Australia Pty Ltd under exclusive license"
Matthew & Son - Stereo Version,Yusuf / Cat Stevens,Matthew & Son,Yusuf / Cat Stevens,3/10/67,1,1,161840,FALSE,0,GBF076620660,"british folk,classic rock,folk,folk rock,mellow gold,singer-songwriter",0.534,0.327,4,-16.789,1,0.0335,0.0503,0.00213,0.281,0.767,139.867,4,,Decca Music Group Ltd.,"C © 1988 Decca Music Group Limited, P This Compilation ℗ 1988 Decca Music Group Limited"
Heaven & Hell - US Single Version,The Easybeats,Friday On My Mind,The Easybeats,1/1/67,1,13,162106,FALSE,11,AUAP06700039,"australian rock,british blues,freakbeat,protopunk,psychedelic rock",0.483,0.676,9,-10.271,1,0.0323,0.505,0.0000632,0.297,0.502,116.418,4,,Albert Productions,"C © 1967 BMG AM Pty Ltd., P ℗ 1967 BMG AM Pty Ltd."
You Are The Sunshine Of My Life,Stevie Wonder,Number 1's,Stevie Wonder,1/1/07,1,6,177306,FALSE,0,USMO17282852,"motown,soul",0.471,0.574,11,-11.266,1,0.0509,0.802,0.00000255,0.0931,0.661,131.892,4,,Universal Strategic Marketing,"C © 2007 Motown Records, a Division of UMG Recordings, Inc., P ℗ 2007 Motown Records, a Division of UMG Recordings, Inc."
Too Good At Goodbyes,Sam Smith,The Thrill Of It All (Special Edition),Sam Smith,11/3/17,1,1,201000,FALSE,87,GBUM71704089,"pop,uk pop",0.681,0.372,5,-8.237,1,0.0432,0.64,0,0.169,0.476,91.873,4,,Capitol,"C © 2017 Universal Music Operations Limited, P ℗ 2017 Universal Music Operations Limited"
You're the One,Petula Clark,The Classic Collection,Petula Clark,1/1/97,1,12,143834,FALSE,22,GBAJE6500257,"adult standards,bubblegum pop,easy listening,folk rock,merseybeat,rock-and-roll,rockabilly",0.485,0.721,5,-7.84,0,0.0348,0.479,0,0.67,0.88,136.892,4,,Sanctuary Budget,"C © 1997 Sanctuary Records Group Ltd., a BMG Company, P ℗ 1997 Sanctuary Records Group Ltd., a BMG Company"
We Made You,Eminem,Relapse: Refill,Eminem,5/15/09,1,9,269613,FALSE,66,USUM70965164,"detroit hip hop,hip hop,rap",0.924,0.853,2,-1.203,1,0.0792,0.107,0.00000145,0.129,0.67,114.003,4,,Aftermath,"C © 2009 Aftermath Records, P ℗ 2009 Aftermath Records"
Round Round,Sugababes,Angels With Dirty Faces (International version),Sugababes,1/1/02,1,3,237053,FALSE,0,GBAAN0201114,"dance pop,europop,girl group,talent show",0.735,0.859,6,-3.845,0,0.0346,0.00289,0.00000395,0.111,0.758,126.587,4,,Island Records,"C © 2002 Universal Island Records Ltd. A Universal Music Company., P ℗ 2002 Universal Island Records Ltd. A Universal Music Company."
Juju on That Beat (TZ Anthem),"Zay Hilfigerrr, Zayion McCall",Juju on That Beat (TZ Anthem),"Zay Hilfigerrr, Zayion McCall",9/30/16,1,1,144244,FALSE,61,USAT21602928,viral trap,0.807,0.887,1,-3.892,1,0.275,0.00381,0,0.391,0.78,160.517,4,,"Tha Lights Global, INC/Atlantic Recording Corp","C © 2016 Tha Lights Global, INC / Atlantic Recording Corporation, P ℗ 2016 Tha Lights Global, INC / Atlantic Recording Corporation"
Poker Face,Lady Gaga,The Fame,Lady Gaga,1/1/08,1,4,237200,FALSE,0,USUM70824409,"art pop,dance pop,pop",0.851,0.806,4,-4.618,1,0.0786,0.12,0.00000133,0.121,0.776,119.001,4,,Streamline/Interscope,"C © 2008 Interscope Records, P ℗ 2008 Interscope Records"
It Must Be Love,Madness,7,Madness,10/2/81,1,20,206266,FALSE,58,GB7GZ0900018,"britpop,new wave,ska,ska revival",0.536,0.606,7,-5.364,1,0.0355,0.103,0.0000108,0.255,0.719,146.425,4,,Salvo,"C © 2010 Stirling Holdings Ltd., under exclusive license to Union Square Music Limited, a BMG Company, P ℗ 2010 Stirling Holdings Ltd., under exclusive license to Union Square Music Limited, a BMG Company"
The Wild Colonial Boy,Dr. Hook,Timeless,Dr. Hook,4/17/15,1,41,266669,FALSE,19,GBUM71302541,"country rock,mellow gold,soft rock",0.448,0.312,1,-14.926,1,0.0552,0.84,0.0000038,0.0848,0.403,158.27,3,,Universal Music Australia Pty. Ltd.,"C © 2015 Universal Music Australia Pty Ltd., P This Compilation ℗ 2015 Universal Music Australia Pty Ltd."
You Talk Too Much,Joe Jones,You Talk Too Much - The Best Of,Joe Jones,7/1/10,1,1,152706,FALSE,13,USA561018172,novelty,0.719,0.639,8,-9.229,1,0.0376,0.797,0.0000143,0.075,0.727,128.272,1,,Brownbeats Records,"C (C) 2010 Goldenlane Records, P (P) 2010 Goldenlane Records"
Can't Get Enough Of You Baby,Smash Mouth,All Star Smash Hits,Smash Mouth,1/1/05,1,10,151106,FALSE,0,USIR19902230,"pop rock,post-grunge",0.662,0.891,6,-4.65,1,0.0291,0.0128,0,0.448,0.823,123.728,4,,Universal Music Group,"C © 2005 Interscope Records, P ℗ 2005 Interscope Records"
One In A Million,"Jordie Ireland, Ava Hayz",One In A Million,Jordie Ireland,5/4/18,1,1,178424,FALSE,27,AUUM71800336,,0.748,0.551,5,-5.772,1,0.0907,0.327,0.0000143,0.096,0.334,104.175,4,,Universal Music Australia Pty. Ltd.,"C © 2018 Jordie Ireland, under exclusive license to Universal Music Australia, P ℗ 2018 Jordie Ireland, under exclusive license to Universal Music Australia"
Life Is A Highway,Tom Cochrane,Mad Mad World,Tom Cochrane,1992,1,1,266560,FALSE,65,CAE159100001,"canadian singer-songwriter,classic canadian rock,mellow gold",0.683,0.751,5,-10.184,1,0.0346,0.0681,0.00000836,0.248,0.841,103.036,4,,EMI Music Canada,"C © 1991 EMI Music Canada, P ℗ 1991 EMI Music Canada"
IDGAF,Dua Lipa,Dua Lipa (Deluxe),Dua Lipa,6/2/17,1,5,217946,TRUE,83,GBAHT1600301,"dance pop,pop,uk pop",0.836,0.544,7,-5.975,1,0.0943,0.0403,0,0.0824,0.51,97.028,4,,Warner Records,"C © 2017 Dua Lipa Limited under exclusive license to Warner Music UK Limited, P ℗ 2017 Dua Lipa Limited under exclusive license to Warner Music UK Limited. Tracks 3, 6, 7, 8, 9, 13, 14 (P) 2016 Warner Music UK Limited. Tracks 4, 15, 17 (P) 2015 Warner Music UK Limited."
As Long as You Love Me,Backstreet Boys,Backstreet's Back,Backstreet Boys,10/9/97,1,2,221106,FALSE,0,USJI19710094,"boy band,dance pop,pop",0.804,0.801,0,-4.892,1,0.0305,0.275,0.0000329,0.215,0.826,98.12,4,,Jive,P (P) 1997 Zomba Recording LLC
Come & Get It,Selena Gomez,Stars Dance,Selena Gomez,1/1/13,1,5,231986,FALSE,0,USHR11334422,"pop,post-teen pop",0.349,0.795,7,-4.133,0,0.0758,0.0102,0.000138,0.0812,0.542,148.985,1,,Universal Music,"C © 2013 Hollywood Records, Inc., P ℗ 2013 Hollywood Records, Inc."
Temperature,Sean Paul,The Trinity,Sean Paul,9/26/05,1,11,218573,FALSE,84,USAT20505520,"dance pop,dancehall,pop,pop rap",0.951,0.6,0,-4.675,0,0.0685,0.106,0,0.0712,0.822,125.04,4,,Atlantic Records,"C © 2005 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States., P ℗ 2005 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States."
Philadelphia Freedom,Elton John,Captain Fantastic (Deluxe Edition),Elton John,5/19/75,1,13,321933,FALSE,0,GBAMB7500013,"glam rock,mellow gold,piano rock,rock",0.702,0.626,0,-8.448,0,0.0298,0.0744,0.00002,0.072,0.799,125.199,4,,Universal Strategic Marketing,"C © 2005 This Record Company Ltd., P ℗ 2005 This Record Company Ltd. Manufactured by the Island Def Jam Music Group"
Who Dat Girl (feat. Akon),"Flo Rida, Akon",Only One Flo (Part 1),Flo Rida,11/24/10,1,4,200880,FALSE,60,USAT21002400,"dance pop,miami hip hop,pop,pop rap,dance pop",0.719,0.616,1,-3.951,1,0.0395,0.00683,0.0000311,0.0742,0.625,124.963,4,,Poe Boy/Atlantic,"C © 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States, P ℗ 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States"
True Colours,Kasey Chambers,Storybook,Kasey Chambers,9/23/11,1,10,225960,FALSE,0,AUEM00200340,"australian americana,australian country,australian rock",0.704,0.247,0,-8.736,1,0.0297,0.64,0.00000172,0.085,0.236,86.952,4,,Bloodlines,"C 2011 Bloodlines, P 2011 Bloodlines"
Set Adrift On Memory Bliss,P.M. Dawn,Let It Flow,Various Artists,4/23/99,1,10,211661,FALSE,52,FR8GV1838620,contemporary r&b,0.737,0.784,7,-7.902,1,0.0777,0.00682,0.2,0.537,0.587,99.773,4,,Grm Game,"C 1999 Grm Game, P 1999 Grm Game"
